epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6431372761726379,0.6296796798706055,1e-04,0.6366972327232361,0.6256844401359558
1,0.7709804177284241,0.4829418361186981,1e-04,0.7082569003105164,0.7371443510055542
2,0.7960784435272217,0.435236394405365,1e-04,0.721100926399231,0.5368543267250061
3,0.836078405380249,0.37063896656036377,1e-04,0.7614678740501404,0.5922831892967224
4,0.8627451062202454,0.3317992687225342,1e-04,0.7504587173461914,0.6972858905792236
5,0.8698039054870605,0.32409852743148804,1e-04,0.7834862470626831,0.4585075378417969
6,0.8917647004127502,0.2810080945491791,1e-04,0.7926605343818665,0.45716121792793274
7,0.9003921747207642,0.2433101385831833,1e-04,0.8018348813056946,0.4393090605735779
8,0.8949019312858582,0.23826494812965393,1e-04,0.8110091686248779,0.5174114108085632
9,0.9200000166893005,0.1965331733226776,1e-04,0.831192672252655,0.44363439083099365
